"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1163","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","258","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-06-30","passed","2026-06-30","","","",""
"","187",".last() - get last DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","447",".children() - get child DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","378","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","518","cy.fixture() - load a fixture","Files","2026-06-30","passed","2026-06-30","","","",""
"","370","can delete all completed tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
"","3150","cy.viewport() - set the viewport size and dimension","Viewport","2026-06-30","passed","2026-06-30","","","",""
"","183","pass your own callback function to should()","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","232","cy.getAllCookies() - get all browser cookies","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","161",".parents() - get parent DOM elements from DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","272","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","379","cy.request() with query parameters","Network Requests","2026-06-30","passed","2026-06-30","","","",""
"","248",".debug() - enable or disable debugging","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.Cookies","",""
"","202",".not() - remove DOM elements from set of DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","165",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.dom","",""
"","178",".prev() - get previous sibling DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","495","cy.get() - query DOM elements","Querying","2026-06-30","passed","2026-06-30","","","",""
"","1212","displays two todo items by default","example to-do app","2026-06-30","passed","2026-06-30","","","",""
"","50","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","317",".dblclick() - double click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","177","Get environment variables","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.env()","",""
"","504",".should() - make an assertion about the current subject","Assertions","2026-06-30","passed","2026-06-30","","Implicit Assertions","",""
"","151","Get underlying OS name","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.platform","",""
"","393","cy.focused() - get the DOM element that has focus","Misc","2026-06-30","passed","2026-06-30","","","",""
"","509","cy.getCookie() - get a browser cookie","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","271",".focus() - focus on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","154","Control what is printed to the Command Log","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.log","",""
"","190","Get current spec information","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.spec","",""
"","187","can throw any error","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","526","Cypress._ - call a lodash method","Utilities","2026-06-30","passed","2026-06-30","","","",""
"","5108","cy.wait() - wait for a specific amount of time","Waiting","2026-06-30","passed","2026-06-30","","","",""
"","438","can filter for uncompleted tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
"","1059",".check() - check a checkbox or radio element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","369",".add() - create a custom command","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.Commands","",""
"","590",".submit() - submit a form","Actions","2026-06-30","passed","2026-06-30","","","",""
"","191",".closest() - get closest ancestor DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","2216",".click() - click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","568","cy.request() - pass result to the second request","Network Requests","2026-06-30","passed","2026-06-30","","","",""
"","167","cy.root() - query the root DOM element","Querying","2026-06-30","passed","2026-06-30","","","",""
"","182",".nextAll() - get all next sibling DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","389","cy.window() - get the global window object","Window","2026-06-30","passed","2026-06-30","","","",""
"","324","can check off an item as completed","example to-do app","2026-06-30","passed","2026-06-30","","","",""
"","148","cy.wrap() - wrap an object","Misc","2026-06-30","passed","2026-06-30","","","",""
"","178",".its() - get properties on the current subject","Connectors","2026-06-30","passed","2026-06-30","","","",""
"","563","cy.reload() - reload the page","Navigation","2026-06-30","passed","2026-06-30","","","",""
"","164","assert - assert shape of an object","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","170","yields the value yielded by the last Cypress command inside","Connectors","2026-06-30","passed","2026-06-30","",".then()","",""
"","450","cy.writeFile() - write to a file","Files","2026-06-30","passed","2026-06-30","","","",""
"","325","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","547","cy.visit() - visit a remote url","Navigation","2026-06-30","passed","2026-06-30","","","",""
"","393","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","250","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-06-30","passed","2026-06-30","","","",""
"","254","cy.contains() - query DOM elements with matching content","Querying","2026-06-30","passed","2026-06-30","","","",""
"","1000",".uncheck() - uncheck a checkbox element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","187","matches unknown text between two elements","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","322","cy.clearCookie() - clear a browser cookie","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","182","yields the returned value to the next command","Connectors","2026-06-30","passed","2026-06-30","",".then()","",""
"","228","cy.setCookie() - set a browser cookie","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","174",".first() - get first DOM element","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","751","cy.wait() - wait for a specific route","Waiting","2026-06-30","passed","2026-06-30","","","",""
"","1094",".select() - select an option in a <select> element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","175",".filter() - get DOM elements that match the selector","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","129","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-06-30","passed","2026-06-30","","Cypress.Screenshot","",""
"","194","cy.location() - get window.location","Location","2026-06-30","passed","2026-06-30","","","",""
"","2216","cy.scrollTo() - scroll the window or element to a position","Actions","2026-06-30","passed","2026-06-30","","","",""
"","515","cy.request() - save response in the shared test context","Network Requests","2026-06-30","passed","2026-06-30","","","",""
"","393","can filter for completed tasks","example to-do app","2026-06-30","passed","2026-06-30","","with a checked task","",""
"","152","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-06-30","passed","2026-06-30","","","",""
"","226","invokes a callback function with the current subject","Connectors","2026-06-30","passed","2026-06-30","",".then()","",""
"","1148","cy.intercept() - route responses to matching requests","Network Requests","2026-06-30","passed","2026-06-30","","","",""
"","782",".clear() - clears an input or textarea element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","214","Get and set configuration options","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.config()","",""
"","159","Get current version of Cypress being run","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.version","",""
"","227","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","1359","cy.go() - go back or forward in the browser's history","Navigation","2026-06-30","passed","2026-06-30","","","",""
"","1274","cy.screenshot() - take a screenshot","Misc","2026-06-30","passed","2026-06-30","","Cypress.Screenshot","",""
"","192",".invoke() - invoke a function on the current subject","Connectors","2026-06-30","passed","2026-06-30","","","",""
"","264","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-06-30","passed","2026-06-30","","","",""
"","178","yields the original subject without return","Connectors","2026-06-30","passed","2026-06-30","",".then()","",""
"","582","can add new todo items","example to-do app","2026-06-30","passed","2026-06-30","","","",""
"","173","cy.fixture() or require - load a fixture","Files","2026-06-30","passed","2026-06-30","","","",""
"","278","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-06-30","passed","2026-06-30","","","",""
"","673",".blur() - blur off a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","171","cy.title() - get the title","Window","2026-06-30","passed","2026-06-30","","","",""
"","151","cy.url() - get the current URL","Location","2026-06-30","passed","2026-06-30","","","",""
"","430","cy.request() - verify response using BDD syntax","Network Requests","2026-06-30","passed","2026-06-30","","","",""
"","183",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","725","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-06-30","passed","2026-06-30","","","",""
"","271","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-06-30","passed","2026-06-30","","","",""
"","307","cy.hash() - get the current URL hash","Location","2026-06-30","passed","2026-06-30","","","",""
"","174",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","215",".find() - get descendant DOM elements of the selector","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","186","finds element by class name regex","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","1643","retries the should callback until assertions pass","Assertions","2026-06-30","passed","2026-06-30","","Explicit Assertions","",""
"","187",".parent() - get parent DOM element from DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","162",".prevAll() - get all previous sibling DOM elements","Traversal","2026-06-30","passed","2026-06-30","","","",""
"","833","cy.request() - make an XHR request","Network Requests","2026-06-30","passed","2026-06-30","","","",""
"","208","cy.readFile() - read file contents","Files","2026-06-30","passed","2026-06-30","","","",""
"","4376",".type() - type into a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","200","Get CPU architecture name of underlying OS","Cypress APIs","2026-06-30","passed","2026-06-30","","Cypress.arch","",""
